session_id,model,input_tokens,output_tokens,total_tokens
02adb4b04b3643ca86fdc9cef6e1084a,deepseek-chat,2164,1370,3534
02adb4b04b3643ca86fdc9cef6e1084a,unknown,0,0,0
02af5fbd955144e09a8cf7e431474c47,deepseek-chat,0,0,0
02af5fbd955144e09a8cf7e431474c47,unknown,0,0,0
02b5b250ffcf49609dd91eec72754253,ark/deepseek-v3,0,0,0
02b5b250ffcf49609dd91eec72754253,unknown,0,0,0
02b5ea7984a3470498d55d2b9d88de59,ark/deepseek-v3,465,89,554
02b5ea7984a3470498d55d2b9d88de59,unknown,0,0,0
02b7bababe7b43da808883e04763ad2f,deepseek-chat,3213,1327,4540
02b7bababe7b43da808883e04763ad2f,gpt-4.1,4126,935,5061
02b7bababe7b43da808883e04763ad2f,unknown,0,0,0
02bbe1915f3443a0b298716dc54bdbb3,deepseek-chat,3435,1516,4951
02bbe1915f3443a0b298716dc54bdbb3,unknown,0,0,0
02c304fe11894fc78ae67e970d95025b,ark/deepseek-v3,32705,5920,38625
02c304fe11894fc78ae67e970d95025b,unknown,0,0,0
02c54782e74a454897ec221f493fe27b,ark/deepseek-v3,684,127,811
02c54782e74a454897ec221f493fe27b,unknown,0,0,0
02cd6f8385924bfaa14714f810481832,ark/deepseek-v3,617,200,817
02cd6f8385924bfaa14714f810481832,unknown,0,0,0
02d30cfa62b444b2958cd20be48ce12f,ark/deepseek-v3,2571,1386,3957
02d30cfa62b444b2958cd20be48ce12f,unknown,0,0,0
02d45fdbe9944b9683c8b0fc5423f9c5,ark/deepseek-v3,1455,170,1625
02d45fdbe9944b9683c8b0fc5423f9c5,unknown,0,0,0
02d8f0b5c27b4f56a8276ef34a2d198c,ark/deepseek-v3,538,223,761
02d8f0b5c27b4f56a8276ef34a2d198c,unknown,0,0,0
02dbfb46650d4c33a16b9c3f7e4600a7,ark/deepseek-v3,6922,1662,8584
02dbfb46650d4c33a16b9c3f7e4600a7,unknown,0,0,0
02dbfe1bdba540aab2c5b83caf651f0b,deepseek-chat,561,207,768
02dbfe1bdba540aab2c5b83caf651f0b,unknown,0,0,0
02dccdded9bc424a94304d83e372a4d3,deepseek-chat,895,328,1223
02dccdded9bc424a94304d83e372a4d3,unknown,0,0,0
02dd0ca6ea2743bbbb819c66b919ad4f,deepseek-chat,896,400,1296
02dd0ca6ea2743bbbb819c66b919ad4f,unknown,0,0,0
02ddc300b43f4987986f7c1393482484,ark/deepseek-v3-1,1886,795,2681
02ddc300b43f4987986f7c1393482484,unknown,0,0,0
02e7a9e966c842d79f0db8b97ab04fbf,ark/deepseek-v3,3136,867,4003
02e7a9e966c842d79f0db8b97ab04fbf,unknown,0,0,0
02ec317a00d244f2aeb6850671b9cef6,ark/deepseek-v3,3144,309,3453
02ec317a00d244f2aeb6850671b9cef6,unknown,0,0,0
02ecc4d0604b443bbf3a3cff78c3454d,deepseek-chat,3978,1168,5146
02ecc4d0604b443bbf3a3cff78c3454d,unknown,0,0,0
02f1bb46b55f486ba4db6d2a6da81fb6,ark/deepseek-v3,4206,1259,5465
02f1bb46b55f486ba4db6d2a6da81fb6,unknown,0,0,0
02f31a4946724bceafa14104793b6417,ark/deepseek-v3,701,214,915
02f31a4946724bceafa14104793b6417,unknown,0,0,0
02f3ea663876420db6fb14c94def3809,ark/deepseek-v3,0,0,0
02f3ea663876420db6fb14c94def3809,unknown,0,0,0
02f50c51793a4d7f997e5a4ef38ee98c,ark/deepseek-v3-1,2822,984,3806
02f50c51793a4d7f997e5a4ef38ee98c,unknown,0,0,0
02f73853f491415a8c67955a1bb60246,deepseek-chat,762,123,885
02f73853f491415a8c67955a1bb60246,unknown,0,0,0
02f83f24e19744a0ad011eb50c882030,ark/deepseek-v3,467,87,554
02f83f24e19744a0ad011eb50c882030,unknown,0,0,0
02f9af25f5a94d1a82a4a312e645d143,deepseek-chat,670,363,1033
02f9af25f5a94d1a82a4a312e645d143,unknown,0,0,0
0304370fcbb5464c9c66550f32697164,ark/deepseek-v3,701,200,901
0304370fcbb5464c9c66550f32697164,unknown,0,0,0
0304b4bc603441dab14a5b6a59135b91,ark/deepseek-v3,6631,673,7304
0304b4bc603441dab14a5b6a59135b91,unknown,0,0,0
0306893af9044fdd8bae8e522fb243d4,deepseek-chat,561,207,768
0306893af9044fdd8bae8e522fb243d4,unknown,0,0,0
03080a27f0cc48b9b944f0ae3f73db8c,ark/deepseek-v3,467,83,550
03080a27f0cc48b9b944f0ae3f73db8c,unknown,0,0,0
030add7e5e104225a4de89cf941b23dd,deepseek-chat,670,348,1018
030add7e5e104225a4de89cf941b23dd,unknown,0,0,0
03145f162a3242f488d2cd4c8f944225,ark/deepseek-v3,467,94,561
03145f162a3242f488d2cd4c8f944225,unknown,0,0,0
031541f3f9204a3187dcc00a46377bfe,gpt-4-0613,1934,1505,3439
031541f3f9204a3187dcc00a46377bfe,unknown,0,0,0
0319d0856aaa4c459020a5ba1aa22e0a,ark/deepseek-v3,7863,1607,9470
0319d0856aaa4c459020a5ba1aa22e0a,unknown,0,0,0
031cffe0c2744964bacf638a8c3db14c,deepseek-chat,11048,2244,13292
031cffe0c2744964bacf638a8c3db14c,unknown,0,0,0
03231142d3de412fba92c9388a5a4c04,deepseek-chat,1053,385,1438
03231142d3de412fba92c9388a5a4c04,gpt-4.1,941,28,969
03231142d3de412fba92c9388a5a4c04,unknown,0,0,0
03236588775942b08b6da6bf9dceeef6,unknown,0,0,0
03261f60553445aaa4bb41df737706c2,ark/deepseek-v3-1,1933,1114,3047
03261f60553445aaa4bb41df737706c2,unknown,0,0,0
0328890802d247c2b8b375f858364bd1,ark/deepseek-v3,1455,185,1640
0328890802d247c2b8b375f858364bd1,unknown,0,0,0
032ad063f5ec45f19f24e8a45c3e8efb,ark/deepseek-v3,0,0,0
032ad063f5ec45f19f24e8a45c3e8efb,unknown,0,0,0
032f8436238e4daaab4843033b294fab,ark/deepseek-v3,113,1314,1427
032f8436238e4daaab4843033b294fab,unknown,0,0,0
0331ef29710b4bb99af896c6dbd2b0a0,ark/deepseek-v3,5186,1452,6638
0331ef29710b4bb99af896c6dbd2b0a0,unknown,0,0,0
033228fe6e554ad884a153417eb18e83,ark/deepseek-v3,4255,1354,5609
033228fe6e554ad884a153417eb18e83,unknown,0,0,0
03349d5d14f0478e9654aaeed8f51da7,deepseek-chat,561,207,768
03349d5d14f0478e9654aaeed8f51da7,unknown,0,0,0
0336cc688bc94716b897c5205f4a8dbb,deepseek-chat,0,0,0
0336cc688bc94716b897c5205f4a8dbb,unknown,0,0,0
0336df000cbd43a8aae5b09c439b7d27,deepseek-chat,658,340,998
0336df000cbd43a8aae5b09c439b7d27,unknown,0,0,0
0336e670ccbb4f9d8d82d4c2ce83dbcd,ark/deepseek-v3,6436,1041,7477
0336e670ccbb4f9d8d82d4c2ce83dbcd,unknown,0,0,0
0339f425797b4e59ad9afa41425d3798,deepseek-chat,2918,621,3539
0339f425797b4e59ad9afa41425d3798,unknown,0,0,0
033be2fe468c4109b416f54c0cd227e7,ark/deepseek-v3,113,1426,1539
033be2fe468c4109b416f54c0cd227e7,unknown,0,0,0
033ea07e457e44ecae8dfbd6d5ef1a2f,ark/deepseek-v3,701,200,901
033ea07e457e44ecae8dfbd6d5ef1a2f,unknown,0,0,0
034ef004955a4b5e92012c3fdcf2555c,ark/deepseek-v3,701,212,913
034ef004955a4b5e92012c3fdcf2555c,unknown,0,0,0
035a71870d974e42b6990822393c83b2,ark/deepseek-v3,17004,7597,24601
035a71870d974e42b6990822393c83b2,unknown,0,0,0
035ac54a01134efb8b4d58b4cb33acf3,ark/deepseek-v3,623,242,865
035ac54a01134efb8b4d58b4cb33acf3,unknown,0,0,0
035ae1cf88f74c2c8c90b180a2b1ed77,deepseek-chat,1178,285,1463
035ae1cf88f74c2c8c90b180a2b1ed77,unknown,0,0,0
0366845a321e4bccb35610ed21638489,deepseek-chat,7632,1004,8636
0366845a321e4bccb35610ed21638489,unknown,0,0,0
