session_id,model,input_tokens,output_tokens,total_tokens
121c747b423c4688a4a83623a485a5ae,unknown,0,0,0
122a12142c624f7aab009bf00eaaf68f,unknown,0,0,0
1245d3136948423a8ec661a0566efa0f,unknown,0,0,0
125a5ebdaf974047b090089be02122f7,ark/deepseek-v3,1017,849,1866
125c9d4b9d4742859a494b63e6ed57c7,ark/deepseek-v3,6122,1735,7857
125c9d4b9d4742859a494b63e6ed57c7,unknown,0,0,0
126421aa41a94e5ebbbd07bfa5086b12,unknown,0,0,0
1310aa752ec24d2ea9797ce7cdbc64f7,unknown,0,0,0
13486e28faee4aecbddc4a1140c858c0,unknown,0,0,0
1394e88409c84504acc5247ecf80bf2e,deepseek-chat,25,75,100
1394e88409c84504acc5247ecf80bf2e,unknown,0,0,0
13bd7167420f42ba92ab59e8ef2882a3,deepseek-chat,5,15,20
13bd7167420f42ba92ab59e8ef2882a3,unknown,0,0,0
13c0a17660f24287b5b2a37aaab7fe30,deepseek-chat,11,717,728
13c0a17660f24287b5b2a37aaab7fe30,unknown,0,0,0
13c115a1987b43b2b67a8688e39576e4,ark/deepseek-v3,3089,717,3806
13c115a1987b43b2b67a8688e39576e4,unknown,0,0,0
13ca09a9c3174d24940f9026f0bfac81,ark/deepseek-v3,3021,1410,4431
13f339a0fac24d05b8a458770a4b1854,ark/deepseek-v3,8614,1596,10210
13f339a0fac24d05b8a458770a4b1854,unknown,0,0,0
13f45f3feffc4990aa33cef978f62cf8,deepseek-chat,2361,560,2921
13f45f3feffc4990aa33cef978f62cf8,unknown,0,0,0
143b72b49cea41cc830d907527297c24,ark/deepseek-v3,561,206,767
143b72b49cea41cc830d907527297c24,unknown,0,0,0
1447f345e41f41de938b120adbeea74e,deepseek-chat,5,11,16
1447f345e41f41de938b120adbeea74e,unknown,0,0,0
148df0144a874bf193b62ce3495ecd22,unknown,0,0,0
1499823fb41e462bba2659d8a9879118,gpt-4o-2024-05-13,4249,367,4616
1499823fb41e462bba2659d8a9879118,unknown,0,0,0
14ab9ea5f012408582c2d27d76260ee6,ark/deepseek-v3,504,151,655
14ab9ea5f012408582c2d27d76260ee6,unknown,0,0,0
14bec37940dc4fb796de8f1472717801,ark/deepseek-v3,465,96,561
14cd724d398441ba9e2afb29d33e4e93,deepseek-chat,1150,375,1525
14cd724d398441ba9e2afb29d33e4e93,unknown,0,0,0
14ee125b7ca545e0ad5a6192a671e8bb,deepseek-chat,4,11,15
14ee125b7ca545e0ad5a6192a671e8bb,unknown,0,0,0
1501f6f0ac8c4fbda28d94e8c230a64e,ark/deepseek-v3,1307,327,1634
1501f6f0ac8c4fbda28d94e8c230a64e,gpt-4.1,1621,336,1957
1501f6f0ac8c4fbda28d94e8c230a64e,unknown,0,0,0
1525856e85a84745aa5e1aa24daada4b,unknown,0,0,0
152b20f04e764026adafb3bea59382b9,unknown,0,0,0
153df4887603444caad277a4e1fa7575,deepseek-chat,652,651,1303
153df4887603444caad277a4e1fa7575,unknown,0,0,0
15a97a37f6484626b02a1d972470e6cb,gpt-4.1,664,273,937
15a97a37f6484626b02a1d972470e6cb,unknown,0,0,0
15dd991afc52460fbb67415bd4351b26,deepseek-chat,1209,366,1575
15dd991afc52460fbb67415bd4351b26,gpt-4.1,1648,206,1854
